x1,x2,x3,dt,conv_time,converged,t_final,first_simplex_after_wrap,ever_enters_simplex,ever_enters_inner,wrapped_entry_to_inner_same_visit,wraps_before_first_simplex,wraps_before_first_contracting,wraps_simplex_to_contracting,first_simplex_idx,first_contracting_idx
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.05,6.5,True,6.415427874136762,False,True,True,False,0,0,-1,0,0
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.05,10.0,True,9.882096201288467,False,True,True,False,0,0,-1,0,0
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.05,15.0,True,14.729311252722677,False,True,True,False,0,0,-1,0,0
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.02,6.5,True,6.470935903336017,False,True,True,False,0,0,-1,0,0
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.02,10.0,True,9.937595570562577,False,True,True,False,0,0,-1,0,0
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.02,15.0,True,14.88781216200797,False,True,True,False,0,0,-1,0,0
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.01,6.5,True,6.487231220103182,False,True,True,False,0,0,-1,0,0
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.01,10.0,True,9.97389478874085,False,True,True,False,0,0,-1,0,0
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.01,15.0,True,14.943566364056988,False,True,True,False,0,0,-1,0,0
-2.991592653589793,2.991592653589793,2.991592653589793,0.05,6.5,True,22.77130906463265,True,True,True,True,1,1,0,99,99
-2.991592653589793,2.991592653589793,2.991592653589793,0.05,10.0,True,26.104080122391267,True,True,True,True,1,1,0,99,99
-2.991592653589793,2.991592653589793,2.991592653589793,0.05,15.0,True,30.954346969834848,True,True,True,True,1,1,0,99,99
-2.991592653589793,2.991592653589793,2.991592653589793,0.02,6.5,True,22.812376357332287,True,True,True,True,1,1,0,192,192
-2.991592653589793,2.991592653589793,2.991592653589793,0.02,10.0,True,26.24888498354908,True,True,True,True,1,1,0,192,192
-2.991592653589793,2.991592653589793,2.991592653589793,0.02,15.0,True,31.17910450290756,True,True,True,True,1,1,0,192,192
-2.991592653589793,2.991592653589793,2.991592653589793,0.01,6.5,True,22.84182030123335,True,True,True,True,1,1,0,355,355
-2.991592653589793,2.991592653589793,2.991592653589793,0.01,10.0,True,26.30091249088938,True,True,True,True,1,1,0,355,355
-2.991592653589793,2.991592653589793,2.991592653589793,0.01,15.0,True,31.271709430881714,True,True,True,True,1,1,0,355,355
-2.991592653589793,-2.991592653589793,0.8158889055244893,0.05,6.5,True,55.43234070145152,True,True,True,True,6,6,0,773,773
-2.991592653589793,-2.991592653589793,0.8158889055244893,0.05,10.0,True,58.818152188654004,True,True,True,True,6,6,0,773,773
-2.991592653589793,-2.991592653589793,0.8158889055244893,0.05,15.0,True,63.66537068856503,True,True,True,True,6,6,0,773,773
-2.991592653589793,-2.991592653589793,0.8158889055244893,0.02,6.5,True,55.507128634809526,True,True,True,True,6,6,0,1421,1421
-2.991592653589793,-2.991592653589793,0.8158889055244893,0.02,10.0,True,58.96365115082847,True,True,True,True,6,6,0,1421,1421
-2.991592653589793,-2.991592653589793,0.8158889055244893,0.02,15.0,True,63.900169282907264,True,True,True,True,6,6,0,1421,1421
