label,x1,x2,x3,visit_number,total_visits,entry_idx,exit_idx,visit_length,hit_inner_basin,neg_coords_before,closest_to_xstar,total_wraps
"wraps=20, x3=+2.45",-2.991592653589793,-2.991592653589793,2.4476667165734676,2,6,2681,2715,34,True,"[np.int64(0), np.int64(1)]",0.35229944910205657,30
"wraps=20, x3=+2.45",-2.991592653589793,-2.991592653589793,2.4476667165734676,3,6,2886,2922,36,True,"[np.int64(0), np.int64(1)]",0.1761495380770941,30
"wraps=20, x3=+2.45",-2.991592653589793,-2.991592653589793,2.4476667165734676,4,6,3092,3128,36,True,"[np.int64(0), np.int64(1)]",0.08807608712926827,30
"wraps=20, x3=+2.45",-2.991592653589793,-2.991592653589793,2.4476667165734676,5,6,3301,3339,38,True,"[np.int64(0), np.int64(1)]",0.04404118212007372,30
"wraps=20, x3=+2.45",-2.991592653589793,-2.991592653589793,2.4476667165734676,6,6,3508,3547,39,True,"[np.int64(0), np.int64(1)]",0.02202354348243548,30
"wraps=29, x2=-2.45",-2.991592653589793,-2.447666716573467,2.4476667165734676,1,6,2740,2771,31,True,[np.int64(0)],0.5305083302164156,38
"wraps=29, x2=-2.45",-2.991592653589793,-2.447666716573467,2.4476667165734676,2,6,2966,3001,35,True,[np.int64(0)],0.265254811747583,38
"wraps=29, x2=-2.45",-2.991592653589793,-2.447666716573467,2.4476667165734676,3,6,3196,3232,36,True,[np.int64(0)],0.13262856286239758,38
"wraps=29, x2=-2.45",-2.991592653589793,-2.447666716573467,2.4476667165734676,4,6,3423,3460,37,True,[np.int64(0)],0.06631330350145465,38
"wraps=29, x2=-2.45",-2.991592653589793,-2.447666716573467,2.4476667165734676,5,6,3644,3683,39,True,[np.int64(0)],0.033157035502314615,38
"wraps=29, x2=-2.45",-2.991592653589793,-2.447666716573467,2.4476667165734676,6,6,3865,3904,39,True,[np.int64(0)],0.016580920692424804,38
